module,primary_pass,depth,scope_or_gap,lexical_reference_candidates
wordcartel/src/app.rs,2,exercised (scope-limited),"Launch recovery, reduce timing, pre-render advance, shutdown/persistence only",wordcartel/src/blocks_marked.rs; wordcartel/src/clipboard.rs; wordcartel/src/cursor_picker.rs; wordcartel/src/diag_overlay.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/export.rs; wordcartel/src/file_browser.rs; wordcartel/src/file_browser_commit.rs; wordcartel/src/file_browser_intercept.rs; wordcartel/src/filter.rs; wordcartel/src/harper_ls.rs; wordcartel/src/input.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/lsp_client.rs; wordcartel/src/marks.rs; wordcartel/src/menu.rs; wordcartel/src/minibuffer.rs; wordcartel/src/mouse.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/overlays.rs; wordcartel/src/palette.rs; wordcartel/src/plugin/host.rs; wordcartel/src/plugin/pump.rs; wordcartel/src/plugin/reload.rs; wordcartel/src/prompts.rs; wordcartel/src/recents.rs; wordcartel/src/registry.rs; wordcartel/src/render_overlays.rs; wordcartel/src/search_ui.rs; wordcartel/src/splash.rs; wordcartel/src/test_support.rs; wordcartel/src/theme_picker.rs; wordcartel/src/timers.rs; wordcartel/src/transform.rs
wordcartel/src/base16.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/theme_resolve.rs
wordcartel/src/block_paint.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/render.rs; wordcartel/src/render_status.rs
wordcartel/src/blocks_marked.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/registry.rs
wordcartel/src/chrome.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/render.rs
wordcartel/src/chrome_geom.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/e2e.rs; wordcartel/src/mouse.rs; wordcartel/src/render.rs; wordcartel/src/render_overlays.rs
wordcartel/src/clipboard.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/commands.rs; wordcartel/src/editor.rs; wordcartel/src/jobs_apply.rs
wordcartel/src/commands/edit.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,
wordcartel/src/commands/prose_ops.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/e2e.rs; wordcartel/src/registry.rs
wordcartel/src/commands/textops.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/registry.rs
wordcartel/src/commands.rs,3,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/commands/prose_ops.rs; wordcartel/src/e2e.rs; wordcartel/src/input.rs; wordcartel/src/jobs_apply.rs; wordcartel/src/mouse.rs; wordcartel/src/nlp.rs; wordcartel/src/plugin/api.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/save.rs; wordcartel/src/scratch.rs; wordcartel/src/search_ui.rs; wordcartel/src/transform.rs
wordcartel/src/compose.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/block_paint.rs; wordcartel/src/e2e.rs; wordcartel/src/render.rs; wordcartel/src/splash.rs; wordcartel/src/ventilate.rs
wordcartel/src/config.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/chrome.rs; wordcartel/src/clipboard.rs; wordcartel/src/cursor_picker.rs; wordcartel/src/cursor_style.rs; wordcartel/src/density.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/file_browser_listing.rs; wordcartel/src/keymap.rs; wordcartel/src/mouse.rs; wordcartel/src/plugin/reload.rs; wordcartel/src/registry.rs; wordcartel/src/render.rs; wordcartel/src/session_restore.rs; wordcartel/src/settings.rs; wordcartel/src/startup.rs; wordcartel/src/test_support.rs; wordcartel/src/theme_cmds.rs; wordcartel/src/theme_resolve.rs
wordcartel/src/cursor_picker.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/chrome_geom.rs; wordcartel/src/editor.rs; wordcartel/src/mouse.rs; wordcartel/src/overlays.rs; wordcartel/src/render_overlays.rs
wordcartel/src/cursor_style.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/term.rs
wordcartel/src/density.rs,6,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/registry.rs
wordcartel/src/derive.rs,4,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/block_paint.rs; wordcartel/src/blocks_marked.rs; wordcartel/src/commands/edit.rs; wordcartel/src/commands/textops.rs; wordcartel/src/commands.rs; wordcartel/src/e2e.rs; wordcartel/src/edit_apply.rs; wordcartel/src/editor.rs; wordcartel/src/lenses.rs; wordcartel/src/marks.rs; wordcartel/src/mouse.rs; wordcartel/src/nav.rs; wordcartel/src/outline_overlay.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/save.rs; wordcartel/src/session_restore.rs; wordcartel/src/status_view.rs; wordcartel/src/ventilate.rs; wordcartel/src/workspace.rs
wordcartel/src/diag_overlay.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/chrome_geom.rs; wordcartel/src/editor.rs; wordcartel/src/overlays.rs; wordcartel/src/registry.rs; wordcartel/src/render_overlays.rs; wordcartel/src/search_ui.rs
wordcartel/src/diag_provider.rs,5,mapped only,Deferred to assigned pass; no semantic review claimed,wordcartel/src/app.rs; wordcartel/src/diagnostics_run.rs; wordcartel/src/e2e.rs; wordcartel/src/editor.rs; wordcartel/src/harper_ls.rs; wordcartel/src/lsp_client.rs; wordcartel/src/ltex_ls.rs; wordcartel/src/prompts.rs; wordcartel/src/registry.rs; wordcartel/src/render_status.rs; wordcartel/src/test_support.rs
